student_id,name,IQ,college_name,CGPA,internship_completion,placement
0,Fatima,101.0,City College,2.55,,Placed
1,Sophia,105.0,Global College,3.81,Yes,Placed
2,Daniel,88.0,City College,3.64,Yes,Placed
3,Hassan,95.0,Global College,2.69,No,Not Placed
4,Omar,94.0,City College,3.62,No,Not Placed
5,Fatima,92.0,Punjab Institute,2.71,Yes,Not Placed
6,Mia,109.0,City College,2.2,Yes,Placed
7,Hassan,93.0,Tech Valley University,3.92,,Placed
8,Hassan,115.0,Global College,3.31,Yes,Placed
9,John,140.0,National University,2.91,Yes,Placed
10,Omar,96.0,National University,2.8,Yes,Not Placed
11,Nitesh,102.0,Global College,2.65,Yes,Not Placed
12,Ahmed,106.0,Punjab Institute,3.96,No,Not Placed
13,Sofia,127.0,City College,2.27,Yes,Placed
14,Sara,99.0,Punjab Institute,2.63,No,Not Placed
15,Ahmed,88.0,National University,,Yes,Placed
16,Ali,81.0,Global College,2.96,No,Not Placed
17,Sofia,99.0,Global College,2.94,Yes,Not Placed
18,Sofia,93.0,Punjab Institute,2.35,Yes,Not Placed
19,Liam,130.0,Punjab Institute,2.29,Yes,Not Placed
20,Mohammed,127.0,City College,2.51,Yes,Placed
21,Emily,84.0,Tech Valley University,3.83,Yes,Not Placed
22,Daniel,89.0,Tech Valley University,2.23,Yes,Placed
23,Daniel,101.0,City College,3.51,No,Placed
24,Mia,121.0,Tech Valley University,3.52,Yes,Placed
25,Sofia,101.0,National University,3.62,No,Not Placed
26,Sophia,90.0,Tech Valley University,3.77,Yes,Not Placed
27,Nitesh,99.0,City College,2.53,No,Not Placed
28,Areeb,91.0,Tech Valley University,2.45,Yes,Not Placed
29,Mia,109.0,Global College,2.93,Yes,Placed
30,Fatima,89.0,Punjab Institute,2.53,Yes,Not Placed
31,Zara,92.0,National University,3.47,Yes,Not Placed
32,Fatima,117.0,Global College,3.27,Yes,Placed
33,Noah,88.0,Global College,3.75,Yes,Placed
34,John,78.0,City College,2.17,No,Not Placed
35,Neha,101.0,Punjab Institute,3.83,No,Not Placed
36,Noah,95.0,Punjab Institute,2.59,Yes,Not Placed
37,Zara,108.0,National University,2.98,No,Not Placed
38,Ahmed,105.0,City College,2.88,No,Not Placed
39,Sophia,100.0,National University,3.52,No,Not Placed
40,Daniel,99.0,Tech Valley University,2.84,Yes,Not Placed
41,Fatima,89.0,Global College,3.89,Yes,Placed
42,Sofia,101.0,National University,3.81,Yes,Placed
43,Omar,113.0,Global College,3.74,No,Placed
44,Daniel,85.0,City College,,Yes,Not Placed
45,Nitesh,100.0,Tech Valley University,3.71,Yes,Not Placed
46,Neha,116.0,City College,3.56,Yes,Placed
47,Liam,108.0,Tech Valley University,,Yes,Placed
48,John,120.0,Tech Valley University,2.21,No,Placed
49,Noah,91.0,Global College,2.2,Yes,Not Placed
50,Omar,73.0,City College,2.02,No,Not Placed
51,John,103.0,City College,3.1,No,Placed
52,Ahmed,105.0,National University,3.95,Yes,Placed
53,Sara,121.0,City College,2.88,Yes,Placed
54,Mohammed,118.0,National University,3.08,No,Placed
55,John,108.0,Punjab Institute,3.94,Yes,Placed
56,Noah,111.0,Punjab Institute,2.51,Yes,Placed
57,Sofia,97.0,Punjab Institute,3.72,Yes,Placed
58,Ahmed,82.0,City College,3.09,Yes,Placed
59,Mohammed,102.0,City College,3.14,Yes,Placed
60,John,115.0,National University,2.69,Yes,Not Placed
61,Neha,110.0,Tech Valley University,3.12,Yes,Placed
62,Emily,113.0,National University,2.15,Yes,Placed
63,Daniel,94.0,Punjab Institute,3.53,No,Placed
64,Omar,96.0,National University,2.57,Yes,Placed
65,Neha,107.0,Tech Valley University,3.78,No,Placed
66,Omar,92.0,City College,,Yes,Placed
67,Emily,92.0,National University,2.29,No,Not Placed
68,Ravi,104.0,Punjab Institute,3.39,Yes,Placed
69,Noah,111.0,Punjab Institute,2.33,No,Not Placed
70,Daniel,97.0,City College,3.51,Yes,Not Placed
71,Ravi,83.0,National University,3.94,No,Placed
72,Zara,89.0,Tech Valley University,3.56,Yes,Not Placed
73,Daniel,103.0,City College,2.04,Yes,Placed
74,Ravi,103.0,National University,3.2,Yes,Not Placed
75,Ali,104.0,Global College,3.39,No,Placed
76,Fatima,108.0,Punjab Institute,3.65,No,Not Placed
77,Zara,100.0,Tech Valley University,2.11,Yes,Not Placed
78,Ali,104.0,Tech Valley University,2.96,No,Placed
79,Sofia,99.0,Tech Valley University,3.07,No,Not Placed
80,Omar,117.0,Punjab Institute,2.34,No,Placed
81,Hassan,121.0,National University,2.64,No,Not Placed
82,Mia,82.0,City College,2.88,No,Not Placed
83,Liam,96.0,National University,3.67,Yes,Placed
84,Omar,100.0,City College,3.86,No,Placed
85,Nitesh,96.0,Tech Valley University,3.26,Yes,Placed
86,Nitesh,127.0,National University,2.79,No,Not Placed
87,Ali,103.0,Tech Valley University,2.51,Yes,Placed
88,Areeb,88.0,Global College,3.96,Yes,Placed
89,Mohammed,109.0,Tech Valley University,3.97,Yes,Not Placed
90,Fatima,104.0,Tech Valley University,3.85,No,Placed
91,Zara,105.0,City College,3.57,No,Not Placed
92,Fatima,127.0,Global College,2.65,Yes,Placed
93,Zara,105.0,Tech Valley University,3.63,No,Placed
94,Omar,95.0,Tech Valley University,2.82,No,Not Placed
95,Sofia,71.0,Global College,2.65,No,Not Placed
96,Ahmed,98.0,Global College,3.49,Yes,Placed
97,Ali,120.0,National University,2.16,,Placed
98,Emily,99.0,City College,2.1,Yes,Placed
99,Areeb,66.0,Global College,2.9,No,Not Placed
100,Nitesh,93.0,Global College,2.89,Yes,Not Placed
101,Sofia,115.0,Punjab Institute,3.79,Yes,Placed
102,Omar,108.0,Global College,2.25,No,Placed
103,Nitesh,87.0,City College,2.25,Yes,Not Placed
104,Ali,92.0,Tech Valley University,2.29,Yes,Not Placed
105,Nitesh,94.0,Tech Valley University,2.06,No,Placed
106,Areeb,90.0,Tech Valley University,2.14,Yes,Placed
107,Daniel,70.0,Tech Valley University,3.32,Yes,Not Placed
108,Neha,111.0,Punjab Institute,2.86,Yes,Not Placed
109,Nitesh,119.0,Global College,3.53,Yes,Placed
110,Ali,77.0,Tech Valley University,3.99,Yes,Not Placed
111,Areeb,119.0,National University,3.32,Yes,Placed
112,Neha,98.0,Tech Valley University,2.1,No,Not Placed
113,Fatima,118.0,Global College,2.21,Yes,Not Placed
114,Zara,101.0,Tech Valley University,3.76,Yes,Placed
115,Daniel,102.0,Punjab Institute,3.05,Yes,Not Placed
116,Daniel,106.0,City College,3.65,Yes,Placed
117,Mohammed,88.0,City College,3.71,No,Not Placed
118,Ravi,118.0,Global College,3.86,No,Not Placed
119,Mia,83.0,City College,3.9,Yes,Placed
120,Fatima,94.0,City College,3.11,Yes,Placed
121,Liam,108.0,National University,2.68,Yes,Not Placed
122,Sophia,92.0,Global College,3.92,No,Placed
123,John,112.0,Global College,3.09,Yes,Placed
124,Areeb,121.0,City College,2.13,Yes,Not Placed
125,Fatima,115.0,City College,3.29,Yes,Placed
126,Ravi,71.0,City College,3.18,No,Not Placed
127,Daniel,102.0,Punjab Institute,3.79,No,Not Placed
128,Hassan,115.0,Tech Valley University,3.31,No,Placed
129,John,80.0,Punjab Institute,2.7,Yes,Not Placed
130,Ravi,111.0,Global College,3.93,Yes,Not Placed
131,Fatima,110.0,National University,3.6,Yes,Placed
132,Mia,82.0,Tech Valley University,3.26,No,Placed
133,Ahmed,113.0,National University,2.59,No,Placed
134,Mohammed,104.0,Global College,2.75,Yes,Placed
135,Ravi,110.0,Global College,3.34,Yes,Placed
136,Sara,86.0,National University,2.14,Yes,Not Placed
137,Sofia,102.0,National University,2.51,Yes,Not Placed
138,Sofia,74.0,National University,3.43,Yes,Placed
139,Sophia,66.0,Global College,2.96,Yes,Not Placed
140,Hassan,102.0,City College,2.8,Yes,Not Placed
141,Fatima,117.0,National University,2.3,Yes,Placed
142,Ali,104.0,Tech Valley University,2.88,No,Not Placed
143,Ali,99.0,Global College,3.54,Yes,Not Placed
144,Sophia,97.0,Punjab Institute,2.53,Yes,Not Placed
145,Ravi,86.0,Punjab Institute,2.01,Yes,Not Placed
146,Zara,97.0,Tech Valley University,3.34,No,Placed
147,Nitesh,106.0,City College,3.95,No,Placed
148,Fatima,93.0,National University,3.21,Yes,Placed
149,Sara,111.0,Global College,2.24,Yes,Placed
150,Omar,103.0,National University,2.64,Yes,Not Placed
151,Zara,105.0,Global College,3.74,No,Not Placed
152,Areeb,113.0,Punjab Institute,,,Not Placed
153,Ali,92.0,National University,3.22,No,Not Placed
154,Mia,110.0,Tech Valley University,2.81,Yes,Placed
155,Mohammed,94.0,City College,2.42,No,Not Placed
156,Sofia,105.0,Tech Valley University,3.63,No,Placed
157,Daniel,90.0,City College,3.49,No,Placed
158,Zara,86.0,National University,3.32,Yes,Placed
159,Sophia,101.0,National University,2.47,Yes,Not Placed
160,Liam,72.0,City College,2.2,Yes,Not Placed
161,Liam,96.0,Punjab Institute,3.15,Yes,Placed
162,Sophia,76.0,Global College,3.11,Yes,Placed
163,Sofia,112.0,Tech Valley University,2.38,No,Placed
164,Fatima,116.0,Tech Valley University,2.11,No,Placed
165,Ahmed,87.0,Tech Valley University,2.16,No,Not Placed
166,Nitesh,106.0,National University,3.99,Yes,Placed
167,Liam,113.0,Tech Valley University,3.57,Yes,Not Placed
168,Areeb,114.0,Global College,3.84,No,Placed
169,Liam,103.0,Global College,2.39,Yes,Not Placed
170,Liam,111.0,City College,,Yes,Placed
171,Liam,90.0,National University,2.29,No,Not Placed
172,Ahmed,101.0,Global College,3.02,No,Placed
173,Ahmed,93.0,Punjab Institute,3.66,Yes,Not Placed
174,Areeb,89.0,National University,2.7,No,Not Placed
175,Ali,101.0,National University,2.85,No,Not Placed
176,Ali,105.0,Global College,2.26,No,Placed
177,Mia,117.0,Punjab Institute,2.25,No,Not Placed
178,Ahmed,104.0,City College,3.24,Yes,Placed
179,Sofia,110.0,Global College,3.35,No,Placed
180,Sara,110.0,Punjab Institute,3.55,Yes,Placed
181,John,140.0,National University,3.11,Yes,Not Placed
182,Hassan,73.0,Punjab Institute,3.29,No,Not Placed
183,Liam,90.0,National University,2.03,Yes,Placed
184,Sara,122.0,Global College,2.32,No,Not Placed
185,Areeb,95.0,Global College,3.97,No,Not Placed
186,Sophia,113.0,Tech Valley University,2.15,No,Not Placed
187,Ahmed,103.0,Tech Valley University,3.36,No,Placed
188,Sara,132.0,Tech Valley University,2.35,Yes,Placed
189,Hassan,83.0,Global College,3.43,Yes,Not Placed
190,Emily,118.0,City College,3.41,Yes,Placed
191,Emily,126.0,Global College,2.47,Yes,Not Placed
192,Ali,85.0,Punjab Institute,2.54,Yes,Not Placed
193,Zara,112.0,Global College,3.31,Yes,Placed
194,Sara,86.0,Global College,2.78,No,Not Placed
195,Emily,100.0,National University,2.39,No,Placed
196,Nitesh,96.0,National University,3.46,No,Not Placed
197,Sophia,64.0,National University,2.31,No,Not Placed
198,John,106.0,Global College,3.71,Yes,Not Placed
199,Mia,102.0,City College,3.03,Yes,Placed
200,Nitesh,122.0,Punjab Institute,2.21,Yes,Not Placed
201,Mia,109.0,Punjab Institute,3.39,No,Not Placed
202,Sophia,134.0,City College,3.04,Yes,Not Placed
203,Fatima,102.0,City College,2.6,No,Not Placed
204,Sophia,98.0,Punjab Institute,2.85,Yes,Not Placed
205,Zara,97.0,Tech Valley University,2.6,Yes,Placed
206,Ali,93.0,National University,2.53,Yes,Not Placed
207,Omar,67.0,National University,2.33,,Not Placed
208,Fatima,97.0,Punjab Institute,2.73,Yes,Not Placed
209,Noah,,City College,2.5,No,Not Placed
210,Omar,107.0,Tech Valley University,3.37,No,Not Placed
211,Ali,81.0,Punjab Institute,3.37,Yes,Placed
212,Hassan,87.0,National University,3.0,No,Not Placed
213,Noah,90.0,Global College,3.56,Yes,Placed
214,Mohammed,97.0,City College,3.68,No,Placed
215,Nitesh,100.0,Global College,3.16,Yes,Placed
216,Fatima,116.0,Punjab Institute,3.24,No,Placed
217,Emily,91.0,National University,2.57,Yes,Placed
218,Emily,107.0,Tech Valley University,3.79,Yes,Placed
219,Sophia,141.0,Global College,2.05,Yes,Not Placed
220,Liam,106.0,Tech Valley University,2.7,Yes,Not Placed
221,Ahmed,97.0,National University,3.44,Yes,Placed
222,Ali,88.0,Global College,2.16,Yes,Not Placed
223,Emily,97.0,Tech Valley University,2.37,No,Placed
224,Sofia,87.0,Tech Valley University,3.18,No,Not Placed
225,Areeb,104.0,Global College,3.12,No,Placed
